SNID,norm_MJD,1stDet,MJD,BAND_r,BAND_i,BAND_g
b'1027263',59321,59318.25,59321.25,17.832172393798828,18.071250915527344,17.73664093017578
b'1027263',59324,59318.25,59324.232833333335,16.806806564331055,17.080350875854492,16.72580909729004
b'1027263',59328,59318.25,59328.26666666667,16.082155227661133,16.374629974365234,15.975543022155762
b'1027263',59332,59318.25,59332.3,15.70300579071045,16.10379409790039,15.60749626159668
b'1027263',59335,59318.25,59335.41,15.618182182312012,16.22114372253418,15.534547805786133
b'1027263',59337,59318.25,59337.27,15.571969985961914,16.228260040283203,15.540321350097656
b'1027263',59338,59318.25,59338.27,15.577713012695312,16.23644256591797,15.518796920776367
b'1027263',59342,59318.25,59342.26,15.633358001708984,16.345252990722656,15.63368034362793
b'1027263',59343,59318.25,59343.243166666674,15.671497344970703,16.362197875976562,15.660682678222656
b'1027263',59344,59318.25,59344.27,15.693751335144043,16.400848388671875,15.698472023010254
b'1027263',59345,59318.25,59345.23366666667,15.728894233703613,16.465190887451172,15.74942398071289
b'1027263',59346,59318.25,59346.28,15.820064544677734,16.53769874572754,15.776290893554688
b'1027263',59347,59318.25,59347.26,15.84693431854248,16.651905059814453,15.849719047546387
b'1027301',59291,59291.41,59291.41,21.03829002380371,21.317161560058594,20.532451629638672
b'1027622',59189,59189.37,59189.37,18.9685001373291,18.992597579956055,18.9528865814209
b'1027622',59190,59189.367,59190.342599999996,17.510311126708984,17.551258087158203,17.469615936279297
b'1027622',59191,59189.37,59191.3925,16.690753936767578,16.781702041625977,16.66857147216797
b'1027622',59192,59189.37,59192.37,16.132835388183594,16.22641372680664,16.126012802124023
b'1027622',59193,59189.37,59193.280166666664,15.766752243041992,15.859682083129883,15.770891189575195
b'1027622',59194,59189.37,59194.332500000004,15.47484302520752,15.606489181518555,15.503525733947754
b'1027622',59195,59189.37,59195.27033333333,15.280202865600586,15.392375946044922,15.305166244506836
b'1027622',59198,59189.37,59198.3,15.0145902633667,15.107537269592285,15.101558685302734
b'1027622',59199,59189.37,59199.278,14.943485260009766,15.033029556274414,15.033732414245605
